,precision,recall,f1-score
max_depth=2,0.7653061224489796,0.7653061224489796,0.7653061224489796
max_depth=5,0.8941176470588236,0.7755102040816326,0.8306010928961749
max_depth=10,0.8902439024390244,0.7448979591836735,0.8111111111111111
max_depth=None,0.7525773195876289,0.7448979591836735,0.7487179487179487
